ID,Nombre de la Unidad Económica,Razón social,Código de la clase de actividad SCIAN,Nombre de clase de la actividad,Descripcion estrato personal ocupado,Tipo de vialidad,Nombre de la vialidad,Tipo de entre vialidad 1,Nombre de entre vialidad 1,Tipo de entre vialidad 2,Nombre de entre vialidad 2,Tipo de entre vialidad 3,Nombre de entre vialidad 3,Número exterior o kilómetro,Letra exterior,Edificio,Edificio Piso,Número interior,Letra interior,Tipo de asentamiento humano,Nombre de asentamiento humano,Tipo centro comercial,"Corredor industrial, centro comercial o mercado público",Número de local,Código Postal,Clave entidad,Entidad federativa,Clave municipio,Municipio,Clave localidad,Localidad,Área geoestadística básica ,Manzana,Número de teléfono,Correo electrónico,Sitio en Internet,Tipo de establecimiento,Latitud,Longitud,Fecha de incorporación al DENUE
6340213,CENTRO MÉDICO PUERTA DE HIERRO,OCP OPERADORA CLINICA DEL PACIFICO SA DE CV,622111,Hospitales generales del sector privado,251 y más personas,BOULEVARD,PUERTA DE HIERRO,CALLE,PASEO DE LOS VIRREYES,AVENIDA,EMPRESARIOS,AVENIDA,EMPRESARIOS,5150,CS,,,2,,COLONIA,PUERTA DE HIERRO,,,,45116,14,JALISCO,120,Zapopan,1,Zapopan,3306,26,,GABY_PONCE_@HOTMAIL.COM,,Fijo,20.70883707,-103.4134983,2011-03
1702636,CENTRO MÉDICO PUERTA DE HIERRO HOSPITAL AMBULATORIO,CENTRO CIRUGÍA AVANZADA SIGLO XXI SA DE CV,622311,Hospitales del sector privado de otras especialidades médicas,0 a 5 personas,BOULEVARD,PUERTA DE HIERRO,CALLE,PASEO DE LOS VIRREYES,AVENIDA,EMPRESARIOS,AVENIDA,EMPRESARIOS,5150,,,,1,B,COLONIA,PUERTA DE HIERRO,,,,45116,14,JALISCO,120,Zapopan,1,Zapopan,3306,26,,GAABRIELA.PONCE@CMPDH.MX,WWW.CMPDH.NET,Fijo,20.7091435,-103.4138548,2011-03
1651496,CENTRO MÉDICO PUERTA DE HIERRO SUR,OCP OPERADORA CLINICA DEL PACIFICO SA DE CV,622111,Hospitales generales del sector privado,251 y más personas,AVENIDA,LÓPEZ MATEOS SUR,CALLE,CEDRO,CALLE,PUENTE EL PALOMAR,CALLE,NINGUNO,1401,,,,0,,COLONIA,TLAJOMULCO DE ZUÑIGA,,,,45640,14,JALISCO,97,Tlajomulco de Zúñiga,424,La Tijera,443,1,,,,Fijo,20.58951179,-103.443295,2011-03
9124781,CENTRO OFTALMOLÓGICO SAN ÁNGEL,,622111,Hospitales generales del sector privado,0 a 5 personas,CALZADA,JUAN PABLO II,CALLE,HACIENDA DEL CARMEN,AVENIDA,JOAQUIN AMARO,CALLE,GABRIEL RUÍZ,2757,,,,,,COLONIA,SANTA CECILIA,,,,44700,14,JALISCO,39,Guadalajara,1,Guadalajara,524,23,,SANANGEL.SANTACECILIA@GMAIL.COM,,Fijo,20.69981084,-103.2912037,2019-11
6436157,CLÍNICA, ,622311,Hospitales del sector privado de otras especialidades médicas,11 a 30 personas,CALLE,RÍO LAGOS,CALLE,RÍO LA BARCA,CALLE,RÍO SAN JUAN DE DIOS,,NINGUNO,,,,,,SN,COLONIA,ATLAS,,,,44870,14,JALISCO,39,Guadalajara,1,Guadalajara,2639,7,,,,Fijo,20.64514655,-103.3290051,2010-07
7781820,CLÍNICA 2 DEL ISSSTE,CLINICA 2 DEL ISSSTE ,622112,Hospitales generales del sector público,101 a 250 personas,CALLE,GENERAL EULOGIO PARRA,CALLE,PEDRO ANTONIO BUZETA,CALLE,AGUSTIN DE ITURBIDE,CALLE,ARISTA,1700,,,,,,COLONIA,VILLASEÑOR,,,,44600,14,JALISCO,39,Guadalajara,1,Guadalajara,952,16,,,,Fijo,20.68709105,-103.3692801,2019-11
9163262,CLÍNICA DE ONCOLOGIA ZURICH,ONCOMEDICA QUIRURGICA ZURICH SA DE CV,622311,Hospitales del sector privado de otras especialidades médicas,0 a 5 personas,AVENIDA,MEXICO,AVENIDA,ADOLFO LOPEZ MATEOS NORTE,CALLE,TERRANOVA,CALLE,REFORMA,2764,,,,,,COLONIA,CIRCUNVALACION VALLARTA,,,,44680,14,JALISCO,39,Guadalajara,1,Guadalajara,4917,32,,,,Fijo,20.67970019,-103.3864563,2019-11
1957451,CLINICA DE RADIOTERAPIA,CLINICA DE RADIOTERAPIA DE OCCIDENTE SA DE CV,622311,Hospitales del sector privado de otras especialidades médicas,11 a 30 personas,AVENIDA,PATRIA,CALLE,ANTOFAGASTA,CALLE,HIPODROMO,CALLE,BARRANQUILLA,2073,,,,,2073,COLONIA,COLOMOS PROVIDENCIA,,,,44620,14,JALISCO,39,Guadalajara,1,Guadalajara,26,2,,JAOERICSON@HOTMAIL.COM,WWW.CLINICADERADIOTERAPIAGUADALAJARA.COM.MX,Fijo,20.71085589,-103.3819992,2010-07
1832445,CLÍNICA DEL PILAR,CLINICA DEL PILAR SC,622111,Hospitales generales del sector privado,31 a 50 personas,CALLE,MIGUEL HIDALGO Y COSTILLA,BOULEVARD,HOMERO,CALLE,HERODOTO,CALLE,JUSTO SIERRA,3252,,,,0,,COLONIA,VALLARTA SAN JORGE,,,,44690,14,JALISCO,39,Guadalajara,1,Guadalajara,1274,6,,CLINICA_DEL_PILAR@HOTMAIL.COM,,Fijo,20.67642529,-103.3975098,2010-07
1917451,CLÍNICA EL BRISEÑO,CLINICA EL BRISEÑO NUESTRA SEÑORA DE GUADALUPE SC,622111,Hospitales generales del sector privado,11 a 30 personas,AVENIDA,LAS TORRES,CALLE,SAN ANTONIO,CALLE,COLONOS UNIDOS,CALLE,PLAYITAS,31,,,,,,COLONIA,EL BRISEÑO,,,,45326,14,JALISCO,120,Zapopan,1,Zapopan,4499,6,3336844341,,,Fijo,20.62649076,-103.4363511,2010-07
1643703,CLÍNICA HOSPITAL DIAGNOSIS,,622111,Hospitales generales del sector privado,11 a 30 personas,CALLE,RIO JUAREZ,CALLE,FRANCISCO DE MIRANDA,CALLE,MATAMOROS,CALLE,FRANCISCO DE MIRANDA,199,A,,,,,BARRIO,TLAQUEPAQUE CENTRO,"HOSPITAL, CENTRO MEDICO O CLINICA",HOSPITAL,SN,45500,14,JALISCO,98,San Pedro Tlaquepaque,1,Tlaquepaque,007A,1,3336399817,,,Fijo,20.63834109,-103.3136343,2010-07
1884175,CLÍNICA HOSPITAL MARIANA,OPERADORA DE HOSPITALES MARIANA SA DE CV,622111,Hospitales generales del sector privado,11 a 30 personas,CALLE,MONTE JURA,CALLE,ROGELIO BACON,CALLE,SIERRA LEONA,CIRCUITO,DIVISIÓN DEL NORTE,200,,,,,,COLONIA,INDEPENDECIA,,,,44379,14,JALISCO,39,Guadalajara,1,Guadalajara,399,10,3336378485,CLINICAHOSPITALMARIANA@HOTMAIL.COM,,Fijo,20.69716369,-103.3343923,2010-07
7781871,CLÍNICA IMER,INSTITUTO IMER DE OCCIDENTE SC,622111,Hospitales generales del sector privado,11 a 30 personas,AVENIDA,PABLO NERUDA,CALLE,VICTORIA,CALLE,NUEVA ESCOCIA,CALLE,BOGOTA,3148,,,,0,,COLONIA,PROVIDENCIA 4 TA. SECCION,,,,44639,14,JALISCO,39,Guadalajara,1,Guadalajara,280,17,,INFO@CLINICAIMER.COM,WWW.CLINICAIMER.COM,Fijo,20.69736847,-103.3899082,2019-11
1691776,CLÍNICA JUAN SANDOVAL IÑIGUEZ,,622311,Hospitales del sector privado de otras especialidades médicas,0 a 5 personas,CALLE,AGUASCALIENTES,CALLE,ALLENDE,CALLE,HIDALGO,AVENIDA,JALISCO,334,,,,0,,COLONIA,EL MANTE,,,,45235,14,JALISCO,120,Zapopan,1,Zapopan,2543,18,,SALUDAC@GMAIL.COM,WWW.SALUDDELOSENFERMOS.COM,Fijo,20.60728659,-103.4231296,2014-12
1856448,CLÍNICA MACIAS,CLINICA MACIAS SA DE CV,622311,Hospitales del sector privado de otras especialidades médicas,31 a 50 personas,CALLE,JOSE LUIS VERDIA,CALLE,GOMEZ FARIAS,CALLE,ALDAMA,CALLE,MATAMOROS,120,,,,,120,COLONIA,ANALCO,,,,44450,14,JALISCO,39,Guadalajara,1,Guadalajara,1912,18,,,,Fijo,20.67052891,-103.33607,2010-07
1689997,CLÍNICA MÉDICO QUIRURGICA FERROCARRIL,CLINICA MEDICO QUIRURGICA FERROCARRIL SA DE CV,622111,Hospitales generales del sector privado,6 a 10 personas,CALLE,10,CALLE,7,CALLE,5,CALLE,10-A,1794,,,,,,COLONIA,FERROCARRIL,,,,44440,14,JALISCO,39,Guadalajara,1,Guadalajara,5347,21,,CMQ@LIVE.COM.MX,,Fijo,20.64628994,-103.3508946,2014-12
6744112,CLÍNICA NUESTRA SEÑORA DE GUADALUPE,NUCLEO MEDICO Y HOSPITALARIO NUESTRA SEÑORA DE GUADALUPE SC,622111,Hospitales generales del sector privado,31 a 50 personas,CALLE,ANTIGUA CARRETERA A CHAPALA,CALLE,ANILLO PERIFERICO SUR,CALLE,NINGUNO,CALLE,NINGUNO,6090,A,,,,,COLONIA,LA LADRILLERA,,,,45590,14,JALISCO,98,San Pedro Tlaquepaque,1,Tlaquepaque,2752,23,3314175133,NUCLEO_SC@HOTMAIL.COM,,Fijo,20.5837948,-103.3320653,2016-10
1845830,CLÍNICA NUESTRA SEÑORA DEL ROSARIO,,622311,Hospitales del sector privado de otras especialidades médicas,11 a 30 personas,CALLE,DIONISIO RODRIGUEZ,CALLE,MANUEL DOBLADO,CALLE,CHURUBUSCO,CALLE,JOSEFA ORTIZ DE DOMÍNGUEZ,493,,,,,,COLONIA,SAN JUAN DE DIOS,,,,44360,14,JALISCO,39,Guadalajara,1,Guadalajara,1645,9,3336541478,,,Fijo,20.67454158,-103.3320732,2010-07
1843057,CLÍNICA REGIONAL 45,INSTITUTO MEXICANO DEL SEGURO SOCIAL CLÍNICA REGIONAL 45 ,622112,Hospitales generales del sector público,101 a 250 personas,CALLE,GREGORIO DAVILA,CALLE,REFORMA,CALLE,SAN FELIPE,CALLE,NICOLÁS ROMERO,299,,,,0,,COLONIA,VILLAFLORES,,,,44660,14,JALISCO,39,Guadalajara,1,Guadalajara,1325,26,3338251822,,,Fijo,20.6798688,-103.361268,2010-07
1653932,CLÍNICA SAN PEDRO APOSTOL,,622311,Hospitales del sector privado de otras especialidades médicas,11 a 30 personas,CALLE,EMILIO CARRANZA,AVENIDA,AVENIDA DE LA CRUZ,CALLE,REPUBLICA DE PERU,CALLE,5 DE MAYO,463,,,,,,COLONIA,COLONIAL TLAQUEPAQUE,,,,45570,14,JALISCO,98,San Pedro Tlaquepaque,1,Tlaquepaque,2165,18,3336577508,,,Fijo,20.62968291,-103.3093945,2010-07
1835578,CLÍNICA SANTA MARIA DE GUADALUPE,CLINICA SANTA MARIA DE GUADALUPE SA DE CV,622111,Hospitales generales del sector privado,11 a 30 personas,CALLE,LIBERTAD,CALLE,MOCTEZUMA,CALLE,NICOLAS BRAVO,CALLE,INDUSTRIA,265,,,,0,,COLONIA,ZAPOPAN CENTRO,,,,45100,14,JALISCO,120,Zapopan,1,Zapopan,265,5,,ADMINISTRACION@CLINICASANTAMARIADEGUADALUPE.COM.MX,,Fijo,20.7262934,-103.3931939,2010-07
1742027,CLÍNICA SANTA ROSA,,622311,Hospitales del sector privado de otras especialidades médicas,6 a 10 personas,CALLE,SANTA RITA,PRIVADA,PROVIDENCIA,CALLE,SAN RAFAEL,PRIVADA,DOMINGO MENDOZA,41,,,,0,,COLONIA,SANTA ROSA DEL VALLE,,,,45690,14,JALISCO,70,El Salto,13,Las Pintas,350,42,36890684,,,Fijo,20.56554928,-103.3242897,2010-07
1900875,CLÍNICA SANTA ROSA, ,622111,Hospitales generales del sector privado,11 a 30 personas,CALLE,DE LA ACADEMIA,CALLE,4,CALLE,6,CALLE,15,,,,,18,,COLONIA,CLEMENTE OROZCO,,,,44970,14,JALISCO,39,Guadalajara,1,Guadalajara,3533,12,,CLINICASANTAROSA@LIVE.COM.MX,WWW.CLINICASANTAROSA.COM,Fijo,20.62001756,-103.3477051,2010-07
1870438,CLÍNICA TRES COLONIAS,CLINICA TRES COLONIAS SA DE CV,622311,Hospitales del sector privado de otras especialidades médicas,6 a 10 personas,CALLE,CARDENAL,CALLE,CISNE,AVENIDA,8 DE JULIO,CALLE,HALCÓN,1218,A,,,,,COLONIA,MORELOS,,,,44910,14,JALISCO,39,Guadalajara,1,Guadalajara,2395,42,,AMEU1506@GMAIL.COM,,Fijo,20.65626419,-103.3576879,2014-12
1890050,CLÍNICA Y MATERNIDAD SAN GERARDO,,622311,Hospitales del sector privado de otras especialidades médicas,6 a 10 personas,CALLE,LAGOS DE MORENO,CALLE,TLAQUEPAQUE,CALLE,CUIDAD GUZMAN,CALLE,PUERTO VALLARTA,53,,,,,,COLONIA,JALISCO,,,,44512,14,JALISCO,101,Tonalá,1,Tonalá,382,10,3336071034,,,Fijo,20.68718741,-103.2626367,2010-07
8787181,CONSULTORIO DE CARDIOLOGIA,,622311,Hospitales del sector privado de otras especialidades médicas,0 a 5 personas,CIRCUNVALACION,AGUSTIN YAÑEZ,CALLE,LOPE DE VEGA,CALLE,CALDERON DE LA BARCA,AVENIDA,INGLATERRA,2457,,,,1,C,COLONIA,ARCOS VALLARTA,,,,44130,14,JALISCO,39,Guadalajara,1,Guadalajara,1560,14,,CARDIOLOGAARA@HOTMAIL.COM,,Fijo,20.6678916,-103.3792427,2019-11
8433404,CONSULTORIO DE GINEOCLOGIA Y OBSTETRICIA SIN NOMBRE,,622311,Hospitales del sector privado de otras especialidades médicas,0 a 5 personas,CALLE,TERRANOVA,CALLE,OTRANTO,CALLE,NAPOLES,CALLE,CREMONA,1153,,,,,,COLONIA,PROVIDENCIA,,,,44630,14,JALISCO,39,Guadalajara,1,Guadalajara,4461,18,,,,Fijo,20.6931553,-103.3865361,2019-11
1653696,CORPORATIVO MÉDICO HOSPITALARIO ALTAMIRA,CORPORATIVO MEDICO HOSPITALARIO ALTAMIRA SA DE CV,622311,Hospitales del sector privado de otras especialidades médicas,6 a 10 personas,CALLE,MIGUEL ANGEL,CALLE,DURERO,CALLE,TIZANO,CALLE,VELÁZQUEZ,176,,,,,,COLONIA,FRACC REAL VALLARTA,,,,45020,14,JALISCO,120,Zapopan,1,Zapopan,3005,1,3336293636,,,Fijo,20.67396159,-103.4253081,2010-07
1653475,CORPORATIVO MÉDICO Y HOSPITALARIOS JALISCO SA DE CV,CORPORATIVO MEDICO Y HOSPITALARIOS JALISCO SA DE CV,622111,Hospitales generales del sector privado,11 a 30 personas,CALLE,VIRGEN,CALLE,GALILEO GALILEI,CALLE,AURORA BOREAL NORTE,CALLE,SAGITARIO,5586,,,,,,COLONIA,ARBOLEDAS 1A SECC,,,,45070,14,JALISCO,120,Zapopan,1,Zapopan,5497,14,3336324200,MISIONSANFELIPE@HOTMAIL.COM,WWW.HOSPITALMISIONSANFELIPE.COM.MX,Fijo,20.62585931,-103.4208639,2012-06
1631555,CRUZ ROJA MEXICANA,CRUZ ROJA MEXICANA IAP ,622111,Hospitales generales del sector privado,11 a 30 personas,CALLE,JUAN MANUEL,CALLE,ACEQUIA,CALLE,DOCTOR BAEZA ALZAGA,CALLE,SAN FELIPE,,,,,52,,COLONIA,MORELOS,,,,44280,14,JALISCO,39,Guadalajara,1,Guadalajara,1363,3,,DELEGACION@GDL.CRMJAL.ORG.MX,WWW.CRUZROJAMEXICANA.ORG.MX,Fijo,20.67918793,-103.3419367,2010-07
6906402,CRUZ VERDE ALFREDO LEPE OLIVA,,622112,Hospitales generales del sector público,11 a 30 personas,CALLE,MORELOS,CALLE,FERNANDO ANTON,CALLE,GUAMUCHIL,CALLE,JOAQUÍN PAJARITO,391,,,,,,COLONIA,PAJARITOS,,,,45614,14,JALISCO,101,Tonalá,1,Tonalá,1554,68,,,,Fijo,20.59299806,-103.2291956,2019-11
1896819,CRUZ VERDE BENITO JUÁREZ,H AYUNTAMIENTO DE GUADALAJARA ,622112,Hospitales generales del sector público,6 a 10 personas,CALLE,2 (RAFAEL LOZADA),CALLE,CARLOS A. CARRILLO,CALLE,RAFAEL NAMBO,CALLE,6 (ALFONSO SÁNCHEZ),3020,,,,,,COLONIA,ECHEVERRIA,,,,44960,14,JALISCO,39,Guadalajara,1,Guadalajara,4601,4,,,,Fijo,20.62545189,-103.3683726,2010-07
6503341,CRUZ VERDE DOCTOR J. JESÚS DELGADILLO ARAUJO,,622112,Hospitales generales del sector público,101 a 250 personas,CALLE,MARIANO BARCENA,CALLE,COLIMA,CALLE,CALLE DE VERACRUZ,CALLE,J. A. DE LA FUENTE,997,,,,,,COLONIA,ARTESANOS,,,,44200,14,JALISCO,39,Guadalajara,1,Guadalajara,651,24,3312017200,ADMON.DELGADILLOARAUJO@GMAIL.COM,,Fijo,20.69141467,-103.3518993,2016-01
1672844,CRUZ VERDE LEONARDO OLIVA ALSAGA,,622112,Hospitales generales del sector público,51 a 100 personas,AVENIDA,CRUZ DEL SUR,CALLE,ISLAS ANTILLAS,CALLE,ISLAS ALEUTIANAS,CALLE,ISLA DE PASCUA,28,,,,0,,COLONIA,JARDINES DE LA CRUZ PRIMERA SECCION,,,,44940,14,JALISCO,39,Guadalajara,1,Guadalajara,5370,3,3312018648,,,Fijo,20.64588304,-103.381867,2014-12
1703532,CRUZ VERDE SANTA LUCIA,SERVICIOS DE SALUD DEL MUNICIPIO DE ZAPOPAN ,622112,Hospitales generales del sector público,51 a 100 personas,AVENIDA,DE LA PRESA,PRIVADA,RIO LERMA,CALLE,SANTA MONICA,CALLE,RÍO BLANCO,795,,,,,,COLONIA,SANTA MONICA DE LOSCHORRITOS,,,,45200,14,JALISCO,120,Zapopan,231,Tesistán (San Francisco Tesistán),4179,38,,,,Fijo,20.7992824,-103.4960222,2014-12
8400024,ENDOCRINOLOGO Y METABOLISMO,,622111,Hospitales generales del sector privado,0 a 5 personas,CALLE,TARASCOS,CALLE,LACANDONES,CALLE,RINCONADA DEL NARDO,CALLE,TOLTECAS,3426,,,,101,,COLONIA,MINERVA,,,,44670,14,JALISCO,39,Guadalajara,1,Guadalajara,1043,6,3312226492,DRMORA.@GMAIL.COM,,Fijo,20.6812651,-103.3983151,2019-11
1682683,ESTACIONAMIENTO DEL HOSPITAL DE ESPECIALIDADES SANTA CATALINA,HOSPITAL ESPECIALIDADES SANTA CATALINA SA DE CV,622311,Hospitales del sector privado de otras especialidades médicas,0 a 5 personas,CALLE,JARAUTA,CALLE,PABLO VALDEZ,CALLE,ESTEBAN ALATORRE,AVENIDA,BELISARIO DOMÍNGUEZ,650,,,,,,COLONIA,LA PERLA,,,,44360,14,JALISCO,39,Guadalajara,1,Guadalajara,1170,30,,,,Fijo,20.68159522,-103.3286662,2014-12
8141154,ESTACIONAMIENTO DEL HOSPITAL SAN JUAN BAUTISTA,,622111,Hospitales generales del sector privado,0 a 5 personas,CALLE,HACIENDA LA CALERA,CALLE,RAFAEL CRAVIOTO,CALLE,ALBINO CORSO ÁNGEL,CALLE,ÁNGEL PADILLA,3147,,,,,,COLONIA,FRACCIONAMIENTO ARANDAS,,,,44720,14,JALISCO,39,Guadalajara,1,Guadalajara,4211,1,,,,Fijo,20.69520676,-103.2840989,2019-11
7800780,ESTACIONAMIENTO PUBLICO,HOSPITAL EL ANGEL SA DE CV,622111,Hospitales generales del sector privado,11 a 30 personas,AVENIDA,CRISTOBAL COLON,CALLE,FRESNO,CALLE,LAUREL,CALLE,ENRIQUE DÍAZ DE LEÓN,0,SN,,,0,,COLONIA,CRUZ DEL SUR,,,,44908,14,JALISCO,39,Guadalajara,1,Guadalajara,2395,28,,,,Fijo,20.65533836,-103.3629792,2019-11
9037377,FARMACIA DEL SEGURO POPULAR,SEGURO POPULAR ,622112,Hospitales generales del sector público,0 a 5 personas,AVENIDA,JUAN GIL PRECIADO,CALLE,VASCO DE QUIROGA,CALLE,FELIPE DE LA ROSA,CALLE,FRANCISCO LA ARROYO,31,,,,0,,COLONIA,BASILIO BADILLO,,,,45406,14,JALISCO,101,Tonalá,1,Tonalá,630,31,,,,Fijo,20.6527326,-103.250508,2019-11
6881431,GRUPO JIMALTA,GRUPO JIMALTA S DE RL DE CV,622111,Hospitales generales del sector privado,0 a 5 personas,CALZADA,LÁZARO CÁRDENAS,AVENIDA,NIÑO OBRERO,CALLE,CERRO DEL COLLI,CALLE,CERRO DEL COLLI,4149,,,,0,,COLONIA,JARDINES DE SAN IGNACIO,,,,45040,14,JALISCO,120,Zapopan,1,Zapopan,547,42,,ANTONIO@HRSJ.COM.MX,,Fijo,20.67261184,-103.4088063,2019-04
1665742,GRUPO MÉDICO PRADOS PROVIDENCIA,GRUPO MÉDICO PRADOS PROVIDENCIA ,622111,Hospitales generales del sector privado,11 a 30 personas,CALLE,TERRANOVA,CALLE,JESUS GARCIA,CALLE,ENRIQUE RODO,CALLE,ENRIQUE RODO,680,,,,,,COLONIA,PRADOS PROVIDENCIA,,,,44670,14,JALISCO,39,Guadalajara,1,Guadalajara,929,24,,GERENCIAADM@SALUTARIS.COM.MX,,Fijo,20.68913889,-103.3868148,2014-12
1664774,HOSPITAL AMÉRICAS,,622311,Hospitales del sector privado de otras especialidades médicas,0 a 5 personas,AVENIDA,AVENIDA DE LAS AMERICAS,AVENIDA,ADOLFO LOPEZ MATEOS NORTE,CALLE,REGIDORES,CALLE,NINGUNO,932,C,,,,,COLONIA,CHAPULTEPEC COUNTRY,,,,44620,14,JALISCO,39,Guadalajara,1,Guadalajara,4870,10,3338173141,,,Fijo,20.69456999,-103.3731048,2014-12
